Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,District Municipality,Magisterial District,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
M6427,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,EN,5,5380,No,26900,3,4,1,4,1
M6486,M6486 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,3,4,1,9,1
M6486,M6486 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,05. Waterway, 953. Ad-hoc item (describe under Remarks),BE,10,1080,No,10800,1,1,1,9,1
M6294,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,02. Wing / Ret / Head Walls, 155. Earth backfill,BE,5,630,m3,3150,3,4,9,286,1
M6294,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6294,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,4,1080,No,4320,3,4,1,23,1
M6485,M6485 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,09. Parapets / Handrails, 453. Install full height pedestrian balustrade,BE,35,3100,m,108500,4,4,16,15,1
M6485,M6485 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6485,M6485 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,5,1080,No,5400,3,4,1,19,1
M6485,M6485 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,10,1080,No,10800,3,4,1,9,1
M6491,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,10. Walls, 118. Repair spall (including honeycombing),BE,2,750,L,1500,3,4,1,67,1
M6491,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,6,1080,No,6480,3,4,1,15,1
M6491,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,11. Top Slab, 953. Ad-hoc item (describe under Remarks),BE,5,1080,No,5400,3,4,1,19,1
M6491,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,09. Parapets / Handrails, 456. New pedestrian parapet,BE,22,5090,m,111980,4,4,16,14,1
M6491,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6452,M6452 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,09. Parapets / Handrails, 101. Apply protective coating,BE,1,480,m2,480,2,4,1,208,1
M6452,M6452 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),BE,1,750,L,750,2,4,1,133,1
M6452,M6452 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,3,4,1,9,1
M6452,M6452 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,8,1080,No,8640,3,4,1,12,1
M6309,M6309 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,04. Embankment/s, 158. Rock backfill,BE,2,2770,m3,5540,2,4,1,18,1
M6309,M6309 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6278,M6278 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6278,M6278 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,04. Embankment/s, 155. Earth backfill,EE,2,630,m3,1260,3,4,9,714,1
M6278,M6278 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,04. Embankment/s, 155. Earth backfill,BE,2,630,m3,1260,3,4,9,714,1
M6278,M6278 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),BE,1,750,L,750,2,4,1,133,1
M6278,M6278 CULVERT,Major Culvert,Culvert Major,9/12/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,05. Waterway, 207. Clear debris,BE,20,750,m3,15000,3,4,1,7,1
M6293,CAUSEWAY,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,01. Apron Slabs & Cut Off Walls, 104. Concrete (reinforced),ES,10,12270,m3,122700,3,4,9,7,1
M6293,CAUSEWAY,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,05. Waterway, 207. Clear debris,BE,10,750,m3,7500,3,4,0,0,1
M6293,CAUSEWAY,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,05. Waterway, 209. Clear siltation,BE,10,630,m3,6300,3,4,0,0,1
M6293,CAUSEWAY,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,06. Road Slabs, 117. Repair concrete topping,AC,60,7640,m3,458400,2,4,9,2,1
M6293,CAUSEWAY,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),BE,1,750,L,750,3,4,1,133,1
M6293,CAUSEWAY,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6492,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,04. Embankment/s, 155. Earth backfill,EN,20,630,m3,12600,3,4,9,71,1
M6492,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6492,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),BE,1,750,L,750,2,4,1,133,1
M6492,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,11. Top Slab, 953. Ad-hoc item (describe under Remarks),BE,5,1080,No,5400,2,4,1,19,1
M6494,VARKEN BRIDGE,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6494,VARKEN BRIDGE,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,6,1080,No,6480,3,4,1,15,1
M6297,KAAL RIVER,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6297,KAAL RIVER,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,4,1080,No,4320,3,4,1,23,1
M6297,KAAL RIVER,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),EN,2,1080,No,2160,3,4,1,46,1
3475,Major Culvert on D2796,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,1,5380,No,5380,2,4,1,19,1
3475,Major Culvert on D2796,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,09. Parapets / Handrails, 465. Repair/replace handrail posts,BE,3,1570,No,4710,3,4,1,21,1
3475,Major Culvert on D2796,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,08. Guardrails, 455. New guardrail (single and double),BE,120,950,m,114000,3,4,16,14,1
3475,Major Culvert on D2796,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,05. Waterway, 207. Clear debris,BE,10,750,m3,7500,2,4,1,13,1
3475,Major Culvert on D2796,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,25,1080,No,27000,2,4,1,4,1
M6454,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,04. Embankment/s, 155. Earth backfill,BE,5,630,m3,3150,3,4,1,32,1
M6454,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,04. Embankment/s, 156. Gabion (mattresses and boxes),BE,5,3100,m3,15500,3,4,1,6,1
M6454,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,06. Road Slabs, 118. Repair spall (including honeycombing),BE,2,750,L,1500,3,4,9,600,1
M6454,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6466,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,08. Guardrails," 463. Repair guardrail (realign, bolt replacement, etc)",EN,6,630,m,3780,3,4,1,26,1
M6466,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,4,4,1,9,1
M6464,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6464,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,1,1080,No,1080,2,4,1,93,1
M6464,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),BE,1,750,L,750,2,4,1,133,1
M6465,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,05. Waterway, 207. Clear debris,EE,20,750,m3,15000,3,4,9,60,1
M6465,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6465,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,04. Embankment/s, 403. Grassing,BE,10,150,m2,1500,2,4,1,67,1
M6298,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,01. Apron Slabs & Cut Off Walls, 105. Concrete (mass),EW,5,12270,m3,61350,3,4,9,15,1
M6298,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,04. Embankment/s, 155. Earth backfill,EE,5,630,m3,3150,3,4,9,286,1
M6298,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,11. Top Slab, 103. Clean concrete surface,BE,20,150,m2,3000,2,4,1,33,1
M6298,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6281,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,1,1,1,9,1
M6281,CULVERT,Major Culvert,Culvert Major,9/20/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,1,1080,No,1080,1,1,1,93,1
M6314,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,05. Waterway, 209. Clear siltation,BE,10,630,m3,6300,2,4,1,16,1
M6314,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,06. Road Slabs, 104. Concrete (reinforced),BE,2,12270,m3,24540,3,4,1,4,1
M6314,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,0,0,1
M6314,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,01. Apron Slabs & Cut Off Walls, 104. Concrete (reinforced),BE,2,12270,m3,24540,3,4,1,4,1
M6496,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,01. Apron Slabs & Cut Off Walls, 104. Concrete (reinforced),BE,5,12270,m3,61350,2,4,1,2,1
M6496,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,10. Walls, 104. Concrete (reinforced),BE,1,12270,m3,12270,1,1,1,8,1
M6496,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6496,CULVERT,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,1,1080,No,1080,2,4,1,93,1
M6208,Culvert on P97/2,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,06. Road Slabs, 207. Clear debris,BE,2,750,m3,1500,2,4,0,0,1
M6208,Culvert on P97/2,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6208,Culvert on P97/2,Major Culvert,Culvert Major,9/19/2015,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,1,1080,No,1080,2,4,1,93,1
M6299,CULVERT,Major Culvert,Culvert Major,10/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,06. Road Slabs, 155. Earth backfill,BE,2,630,m3,1260,3,4,9,714,1
M6299,CULVERT,Major Culvert,Culvert Major,10/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6299,CULVERT,Major Culvert,Culvert Major,10/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,05. Waterway, 207. Clear debris,BE,10,750,m3,7500,2,4,4,53,1
M6299,CULVERT,Major Culvert,Culvert Major,10/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,04. Embankment/s, 155. Earth backfill,BE,15,630,m3,9450,3,4,0,0,1
M6431,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,05. Waterway, 209. Clear siltation,BE,10,630,m3,6300,1,1,0,0,1
M6431,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,08. Guardrails," 463. Repair guardrail (realign, bolt replacement, etc)",EW,4,630,m,2520,1,1,1,40,1
M6431,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,08. Guardrails, 953. Ad-hoc item (describe under Remarks),EW,1,1080,No,1080,2,4,1,93,1
M6431,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,1,1,1,9,1
M6431,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,04. Embankment/s, 155. Earth backfill,BE,15,630,m3,9450,3,4,4,42,1
M6300,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,05. Waterway, 209. Clear siltation,BE,20,630,m3,12600,4,4,16,127,1
M6300,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6432,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,21. Miscellaneous Items, 619. Service structure lights,BU,2,1570,No,3140,2,4,1,32,1
M6432,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,07. Wing/ Retaining Walls, 953. Ad-hoc item (describe under Remarks),BU,1,1080,No,1080,2,4,1,93,1
M6270,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,09. Parapets / Handrails, 462. Realign handrails,EW,5,3100,m,15500,2,4,4,26,1
M6270,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,11. Top Slab, 352. Drill drainage holes,BE,4,4640,No,18560,3,4,1,5,1
M6270,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6270,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,04. Embankment/s, 156. Gabion (mattresses and boxes),EW,20,3100,m3,62000,4,4,9,15,1
M6270,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,04. Embankment/s, 504. Repair settlement (asphalt fill),BE,5,9190,m3,45950,3,4,9,20,1
M6270,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,06. Road Slabs, 503. Resurface or patch asphalt,EW,5,750,m2,3750,3,4,0,0,1
M6271, BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,01. Approach Embankment, 155. Earth backfill,BU,5,630,m3,3150,3,4,9,286,1
M6271, BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,01. Approach Embankment, 155. Earth backfill,UE,5,630,m3,3150,3,4,9,286,1
M6271, BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,04. Approach Embankment Protection Works, 155. Earth backfill,BU,5,630,m3,3150,3,4,4,127,1
M6271, BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,11. Parapet, 101. Apply protective coating,"S1,S2",2,480,m2,960,2,4,4,417,1
M6271, BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,2,4,1,9,1
M6433,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,03. Waterway, 207. Clear debris,S3-S6,10,750,m3,7500,2,4,1,13,1
M6433,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,2,4,1,9,1
M6245,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,05. Waterway, 207. Clear debris,BE,20,750,m3,15000,4,4,9,60,1
M6245,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,14. Miscellaneous Items, 620. Install structure number plate,BE,2,5380,No,10760,2,4,1,9,1
M6245,CULVERT,Major Culvert,Culvert Major,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,04. Embankment/s, 155. Earth backfill,BE,5,630,m3,3150,2,4,1,32,1
M6272,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,04. Approach Embankment Protection Works, 155. Earth backfill,US,1,630,m3,630,2,4,1,159,1
M6272,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,1,750,L,750,2,4,1,133,1
M6272,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,20. Decks and Slabs, 207. Clear debris,AS,2,750,m3,1500,2,4,1,67,1
M6272,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,2,4,1,9,1
M6244,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,11. Parapet, 104. Concrete (reinforced),S1-S3,0.5,12270,m3,6135,2,4,0,0,1
M6244,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,2,4,1,9,1
M6244,BRIDGE,Bridge,Bridge,9/24/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,03. Waterway, 207. Clear debris,AS,15,750,m3,11250,3,4,1,9,1
M6305,BRIDGE,Bridge,Bridge,12/6/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,11. Parapet, 453. Install full height pedestrian balustrade,S1,14,3100,m,43400,3,4,16,37,1
M6305,BRIDGE,Bridge,Bridge,12/6/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,2,750,L,1500,2,4,1,67,1
M6305,BRIDGE,Bridge,Bridge,12/6/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,20. Decks and Slabs, 207. Clear debris,S1,2,750,m3,1500,3,4,1,67,1
M6305,BRIDGE,Bridge,Bridge,12/6/2015,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,2,4,1,9,1
